method,variable,surface (~5 m),0–50 m,50–200 m,200+ m,overall
Global mean,TEMP,11.8374,11.7784,9.5153,4.4603,8.9221
Global mean,SALT,2.0819,1.9662,1.3988,0.8719,1.4345
WOA23 climatology,TEMP,1.3394,1.5238,1.7224,1.3864,1.5650
WOA23 climatology,SALT,0.8858,0.8016,0.6647,0.3960,0.6320
CESM2-LE self-climatology (ref),TEMP,0.6511,0.6391,0.6531,0.2611,0.5498
CESM2-LE self-climatology (ref),SALT,0.2219,0.1970,0.1240,0.0393,0.1300
Nearest profile,TEMP,1.0127,1.0463,1.1690,0.6688,0.9943
Nearest profile,SALT,0.6834,0.6147,0.3106,0.1540,0.3820
Nearest + WOA23,TEMP,0.8329,0.9427,1.0657,0.7488,0.9377
Nearest + WOA23,SALT,0.4096,0.3832,0.3105,0.2150,0.3048
Pointwise MLP (prof+WOA+SST/SSS),TEMP,0.4654,0.5275,0.8428,0.5487,0.6787
Pointwise MLP (prof+WOA+SST/SSS),SALT,0.1375,0.1402,0.1521,0.1075,0.1355
2D U-Net (profiles),TEMP,0.6825,0.6919,0.6529,0.3755,0.5873
2D U-Net (profiles),SALT,0.2331,0.2030,0.1193,0.0664,0.1343
2D U-Net (prof+WOA),TEMP,0.5896,0.6377,0.6122,0.2793,0.5331
2D U-Net (prof+WOA),SALT,0.1984,0.1738,0.1130,0.0551,0.1187
NeSPReSO PCA+MLP,TEMP,0.7059,0.7365,0.8674,0.4896,0.7255
NeSPReSO PCA+MLP,SALT,0.1531,0.1623,0.1656,0.1075,0.1478
OSnet MLP (15× ens),TEMP,0.1111,0.3549,0.9449,0.5700,0.7089
OSnet MLP (15× ens),SALT,0.0227,0.1190,0.1791,0.1185,0.1462
Nardelli stacked-LSTM,TEMP,0.3062,0.5428,0.8696,0.4815,0.6785
Nardelli stacked-LSTM,SALT,0.2440,0.2555,0.1793,0.0972,0.1824
2D U-Net (prof+WOA+SST/SSS),TEMP,0.3715,0.4751,0.5798,0.2894,0.4723
2D U-Net (prof+WOA+SST/SSS),SALT,0.1126,0.1342,0.1036,0.0539,0.1001
